Eliminations,Damage Dealt,Assists,Objective Time,Damage Mitigated,Healing Done,Deaths,Solo Kills,Final Blows,Role,Result,match_id,round_num,team
13,7187,1,29,929,0,6,1,8,Damage,1,EMEA_S1_RR_W4_D2_M1,1,Team Peps
12,6619,0,42,1200,127,5,0,5,Damage,1,EMEA_S1_RR_W4_D2_M1,1,Team Peps
23,10775,10,60,4891,1272,4,0,6,Tank,1,EMEA_S1_RR_W4_D2_M1,1,Team Peps
13,4575,14,41,0,9159,3,0,5,Support,1,EMEA_S1_RR_W4_D2_M1,1,Team Peps
15,4417,13,36,1132,4946,4,0,3,Support,1,EMEA_S1_RR_W4_D2_M1,1,Team Peps
15,7795,0,14,2,0,7,1,6,Damage,0,EMEA_S1_RR_W4_D2_M1,1,Sakura
15,5599,0,43,895,148,4,0,3,Damage,0,EMEA_S1_RR_W4_D2_M1,1,Sakura
13,7632,10,73,6248,2479,7,0,5,Tank,0,EMEA_S1_RR_W4_D2_M1,1,Sakura
9,4641,12,14,872,4032,5,0,2,Support,0,EMEA_S1_RR_W4_D2_M1,1,Sakura
9,4294,15,26,0,11301,4,0,5,Support,0,EMEA_S1_RR_W4_D2_M1,1,Sakura
19,9758,0,75,0,0,5,0,5,Damage,0,EMEA_S1_RR_W4_D2_M1,2,Team Peps
14,9365,1,65,1465,0,9,2,7,Damage,0,EMEA_S1_RR_W4_D2_M1,2,Team Peps
20,8774,5,167,11773,0,5,0,8,Tank,0,EMEA_S1_RR_W4_D2_M1,2,Team Peps
15,3439,19,75,0,10987,7,0,6,Support,0,EMEA_S1_RR_W4_D2_M1,2,Team Peps
14,4417,10,108,1462,5495,8,0,5,Support,0,EMEA_S1_RR_W4_D2_M1,2,Team Peps
19,10025,0,10,0,0,5,1,10,Damage,1,EMEA_S1_RR_W4_D2_M1,2,Sakura
18,7823,5,31,2545,345,6,1,11,Damage,1,EMEA_S1_RR_W4_D2_M1,2,Sakura
19,10605,4,66,11978,416,5,1,9,Tank,1,EMEA_S1_RR_W4_D2_M1,2,Sakura
11,3874,16,23,2131,6295,8,0,3,Support,1,EMEA_S1_RR_W4_D2_M1,2,Sakura
10,2861,13,18,0,9015,7,0,1,Support,1,EMEA_S1_RR_W4_D2_M1,2,Sakura
21,13747,0,27,0,0,8,0,8,Damage,1,EMEA_S1_RR_W4_D2_M1,3,Team Peps
29,9843,0,49,2200,124,7,0,10,Damage,1,EMEA_S1_RR_W4_D2_M1,3,Team Peps
28,15792,14,111,8888,3442,6,1,9,Tank,1,EMEA_S1_RR_W4_D2_M1,3,Team Peps
21,3843,28,32,0,19864,7,0,7,Support,1,EMEA_S1_RR_W4_D2_M1,3,Team Peps
26,7448,27,42,2997,8441,5,0,8,Support,1,EMEA_S1_RR_W4_D2_M1,3,Team Peps
21,12748,0,26,0,0,9,0,6,Damage,0,EMEA_S1_RR_W4_D2_M1,3,Sakura
16,9548,0,46,1443,371,10,0,7,Damage,0,EMEA_S1_RR_W4_D2_M1,3,Sakura
26,19142,3,90,16964,528,8,0,14,Tank,0,EMEA_S1_RR_W4_D2_M1,3,Sakura
12,5684,16,39,4391,7117,8,1,4,Support,0,EMEA_S1_RR_W4_D2_M1,3,Sakura
15,6511,22,44,0,17405,8,0,2,Support,0,EMEA_S1_RR_W4_D2_M1,3,Sakura
44,15781,0,128,0,0,12,1,18,Damage,1,EMEA_S1_RR_W4_D2_M1,4,Team Peps
38,11903,0,84,3337,205,13,1,14,Damage,1,EMEA_S1_RR_W4_D2_M1,4,Team Peps
53,19589,9,234,13631,0,7,0,24,Tank,1,EMEA_S1_RR_W4_D2_M1,4,Team Peps
24,5755,41,205,0,18820,11,0,4,Support,1,EMEA_S1_RR_W4_D2_M1,4,Team Peps
36,9407,40,183,3189,14132,6,2,13,Support,1,EMEA_S1_RR_W4_D2_M1,4,Team Peps
34,15423,0,119,144,0,16,0,12,Damage,0,EMEA_S1_RR_W4_D2_M1,4,Sakura
25,10968,0,109,464,33,13,0,10,Damage,0,EMEA_S1_RR_W4_D2_M1,4,Sakura
34,17755,6,250,14183,0,15,1,11,Tank,0,EMEA_S1_RR_W4_D2_M1,4,Sakura
18,7502,10,245,1806,8968,15,0,10,Support,0,EMEA_S1_RR_W4_D2_M1,4,Sakura
24,7848,22,123,0,19162,14,0,6,Support,0,EMEA_S1_RR_W4_D2_M1,4,Sakura
22,8443,0,51,1096,118,6,0,2,Damage,1,EMEA_S1_RR_W4_D3_M2,1,Twisted Minds
22,7789,0,12,0,0,4,0,12,Damage,1,EMEA_S1_RR_W4_D3_M2,1,Twisted Minds
26,8521,10,42,7540,405,5,0,14,Tank,1,EMEA_S1_RR_W4_D3_M2,1,Twisted Minds
13,5032,26,17,0,9384,4,0,2,Support,1,EMEA_S1_RR_W4_D3_M2,1,Twisted Minds
20,5146,24,51,1398,6471,3,0,3,Support,1,EMEA_S1_RR_W4_D3_M2,1,Twisted Minds
18,8712,0,39,991,50,4,1,5,Damage,0,EMEA_S1_RR_W4_D3_M2,1,The Ultimates
12,8689,0,18,0,0,7,0,5,Damage,0,EMEA_S1_RR_W4_D3_M2,1,The Ultimates
12,7842,2,49,8613,113,8,1,8,Tank,0,EMEA_S1_RR_W4_D3_M2,1,The Ultimates
10,3781,13,12,4043,5857,7,0,2,Support,0,EMEA_S1_RR_W4_D3_M2,1,The Ultimates
5,3475,13,11,497,8866,8,0,1,Support,0,EMEA_S1_RR_W4_D3_M2,1,The Ultimates
16,9917,0,37,0,0,3,3,7,Damage,1,EMEA_S1_RR_W4_D3_M2,2,Twisted Minds
19,13157,0,10,0,0,5,0,9,Damage,1,EMEA_S1_RR_W4_D3_M2,2,Twisted Minds
19,11779,1,140,20284,0,6,0,12,Tank,1,EMEA_S1_RR_W4_D3_M2,2,Twisted Minds
9,4605,13,27,395,12378,5,0,3,Support,1,EMEA_S1_RR_W4_D3_M2,2,Twisted Minds
8,3945,20,84,6874,11339,3,0,0,Support,1,EMEA_S1_RR_W4_D3_M2,2,Twisted Minds
15,10709,0,68,486,85,4,0,7,Damage,0,EMEA_S1_RR_W4_D3_M2,2,The Ultimates
15,10271,0,41,0,0,7,1,8,Damage,0,EMEA_S1_RR_W4_D3_M2,2,The Ultimates
15,8779,5,66,7049,291,4,0,5,Tank,0,EMEA_S1_RR_W4_D3_M2,2,The Ultimates
6,4642,6,37,808,8387,8,0,0,Support,0,EMEA_S1_RR_W4_D3_M2,2,The Ultimates
11,5673,15,15,0,6024,8,0,2,Support,0,EMEA_S1_RR_W4_D3_M2,2,The Ultimates
31,7774,0,60,0,0,4,0,10,Damage,1,EMEA_S1_RR_W4_D3_M2,3,Twisted Minds
26,10988,0,21,0,249,6,0,9,Damage,1,EMEA_S1_RR_W4_D3_M2,3,Twisted Minds
32,9916,6,66,6555,0,6,0,14,Tank,1,EMEA_S1_RR_W4_D3_M2,3,Twisted Minds
10,4786,28,20,0,11265,4,0,4,Support,1,EMEA_S1_RR_W4_D3_M2,3,Twisted Minds
21,4548,23,35,1871,7562,7,0,4,Support,1,EMEA_S1_RR_W4_D3_M2,3,Twisted Minds
14,7409,0,151,971,137,10,0,8,Damage,0,EMEA_S1_RR_W4_D3_M2,3,The Ultimates
14,8128,0,68,0,0,10,0,7,Damage,0,EMEA_S1_RR_W4_D3_M2,3,The Ultimates
21,11292,3,157,15477,0,7,0,8,Tank,0,EMEA_S1_RR_W4_D3_M2,3,The Ultimates
7,3097,11,96,1638,7180,6,0,2,Support,0,EMEA_S1_RR_W4_D3_M2,3,The Ultimates
10,4624,18,19,2036,8911,8,0,2,Support,0,EMEA_S1_RR_W4_D3_M2,3,The Ultimates
22,9534,1,18,0,0,4,0,10,Damage,1,EMEA_S1_RR_W4_D3_M1,1,Virtuspro
21,8902,10,14,0,0,2,1,8,Damage,1,EMEA_S1_RR_W4_D3_M1,1,Virtuspro
21,12955,8,96,9890,2941,3,0,8,Tank,1,EMEA_S1_RR_W4_D3_M1,1,Virtuspro
17,3159,16,12,0,9705,3,0,2,Support,1,EMEA_S1_RR_W4_D3_M1,1,Virtuspro
16,3582,13,18,2676,6065,4,2,6,Support,1,EMEA_S1_RR_W4_D3_M1,1,Virtuspro
13,7719,2,15,405,0,6,1,7,Damage,0,EMEA_S1_RR_W4_D3_M1,1,Vision Esports
12,6120,0,24,0,0,6,0,3,Damage,0,EMEA_S1_RR_W4_D3_M1,1,Vision Esports
10,10233,5,68,7421,3506,9,0,4,Tank,0,EMEA_S1_RR_W4_D3_M1,1,Vision Esports
7,3722,11,15,3203,4678,8,0,2,Support,0,EMEA_S1_RR_W4_D3_M1,1,Vision Esports
5,2324,10,11,0,9517,6,0,0,Support,0,EMEA_S1_RR_W4_D3_M1,1,Vision Esports
11,5107,0,19,0,0,4,0,4,Damage,1,EMEA_S1_RR_W4_D3_M1,2,Virtuspro
19,5744,1,32,1795,99,1,0,11,Damage,1,EMEA_S1_RR_W4_D3_M1,2,Virtuspro
14,8704,11,48,3764,1610,1,0,3,Tank,1,EMEA_S1_RR_W4_D3_M1,2,Virtuspro
8,1782,11,17,0,7078,3,0,3,Support,1,EMEA_S1_RR_W4_D3_M1,2,Virtuspro
